comment,Hate
"[caption]: যখন বই খুলে পড়তে বসি
[caption]: পড়তে বসার ৫ মিনিট পর",no
"[Mother-in-law]: বউমা একটু সকালে ঘুম থেকে উঠতে পারেনা
[Daughter-in-law]: কথাটা আমাকে না বলে আপনার ছেলেকে বলুন
[Mother-in-law]: কেন?
[Daughter-in-law]: গোটা বছর আমি জোর করতাম এজন্যই লকডাউন পেয়ে আপনার ছেলে আমার কোমরটা শেষ করে দিচ্ছে",no
"[caption]: *ফ্রেন্ড যখন ট্রিট দিতে বলে*
আমি: দোস্ত খোদার কসম আমার কাছে এক টাকা নাই।
[caption]: অতঃপর ফ্রেন্ড:",no
"[caption]: সবজি খেয়ে বন্ধু যখন হাই হয়ে বলে
[বন্ধু]: “দোস্ত থাক অনেক হইছে আজকে আর না”
আমি: চলো আরেকবার উড়ি তুমি আর আমি",no
"[caption]: মিরপুর-১ ফুটওভার ব্রিজে হেঁটে যাওয়া বিদ্যমানঃ
[Speaker]: তোর কি দেহ লাগবো?",yes
"[Man]: ন্যুডটা কি এখন দিবা?
[Woman]: বিয়ে করুণ তারপর সামনাসামনি দেখতে পারবেন",yes
"[caption]: এসেছিলাম একা
[caption]: যেতে হবে একা
[caption]: মাঝখানে বারোভারির সাথে দেখা",yes
"[caption]: রাতরে*
[caption]: বারোটার সময় টিভ্ভি অন করা বিদ্যমানঃ
[caption]: তোর কি নুনু ছোট?",yes
"[caption]: nobody :
[caption]: me after seeing biryani :",no
[caption]: এই তুমি কি গাঁজা? কারণ আমি তোমাকে খেতে চাই,yes
"[caption]: বিদেশ ফেরত স্বামী যখন পাঁচ বছর পর দেশে এসে স্ত্রীর সাথে প্রথম রাত্রিযাপনের পর স্ত্রী:
[স্ত্রী]: পাচাড়া ধ্বংস কইরা লাইছিরে ভাই",yes
"Crush to my mom: আন্টি ও কথায় গেসে?
Mom : হাপতে গেসে মনে হয়
Me in toilet :",yes
"[caption]: When teacher says
[Teacher]: যাদের আমার ক্লাস ভালো লাগে না,তারা বেরিয়ে যাও
[caption]: আর সত্যিই অর্ধেক স্টুডেন্ট বাইরে চলে যায়...
[Teacher]: Am I a joke to you?",no
"[Boy]: শেষ সৃজনশীল
[Woman]: প্রথম সৃজনশীল
[caption]: HELL MEME",no
"[caption]: নারীবাদ পিরিয়ডের পেইন এইসব নিয়া স্ট্যাটাস দেয়ার পর মেয়েদের মন জয় করা ফাকব বি লাইক:
[character]: এ শহরে আমার মতো ক্রিমিনাল একটা ও নাই",yes
"[Mother-in-law]: বউমা এবার কিন্তু আমি নাতি-নাতনি চাই
[Daughter-in-law]: কথাটা আপনার ছেলেকে বলুন
[Mother-in-law]: কেন?
[Daughter-in-law]: গাছের গোড়ায় পানি না ঢেলে আগায় দিলে বাচ্চা ক্যামনে হবে",no
"[caption]: পর্ন দেখতে বড় ভাইয়ের কাছে ধরা খাওয়ার পর
বড়ভাইঃ এতো অল্প বয়সে এতো মজা ভালো না",yes
,
"[caption]: রমজানের আগে শেষবার হাতমারা
[caption]: বিদ্যমান
[caption]: নুনু:
[caption]: আল্লাগো... আইজ না জানি কি হয়",yes
"[caption]: Husband to his wife while going aboard :
[Husband]: চলে যাচ্ছি, শেষবার লাগাতে এসেছি",yes
"[caption]: জীববিজ্ঞান ক্লাসে স্যার যখন জীবের প্রজনন নিয়ে লেকচার দেন তখন
Backbencher: আরে কাকে খেলা শিখান?",yes
"[Man]: আচ্ছা, তোমরা মেয়েরা কেন কয়েকটা রোজা রাখনা?
[Woman]: তোমার কাছে কি আমি জানতে চাইছি সেহেরির পূর্বে কেন ছেলেরা গোসল করে",no
[caption]: Most unused thing in this quarantine,no
"[caption]: * মুষলধারে বৃষ্টি হচ্ছে
[caption]: My time has come",no
"[Man 1]: তোর গার্লফ্রেন্ড নাকি নাহিদের সাথে প্রেম করে
[Man 2]: মাদারচোদ রোযা রাখছি তাই মুখটা খারাপ করলাম না",yes
